,Aprašymas,Buto nuoroda,Buto kaina,Plotas,Širdutės,Skelbimo data,Koregavimo data,Perziurejo skelbimą,Kambarių skaičius,Aukštas,Viso aukštų,Statybos metai,Pastato tipas,Šildymas,Įrengimas,Nauja statyba,Rajonas,Kainauzkvadrata
60," Viršuliškės, Viršilų g., 3 kambarių butas",www.aruodas.lt/1-2995217,102600,52.56,16,2021-02-02,2021-04-08,1,3,3,20,2021,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Viršuliškės,1952.0547945205478
61," Viršuliškės, Viršilų g., 2 kambarių butas",www.aruodas.lt/1-3005939,87200,41.94,9,2021-03-02,2021-04-08,1,2,16,20,2021,Blokinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Viršuliškės,2079.160705770148
62," Justiniškės, Mozūriškių g., 2 kambarių butas",www.aruodas.lt/1-2977473,73035,42.61,143,2021-03-24,2021-04-07,1,2,2,3,2021,Mūrinis,Dujinis,Dalinė apdaila ,Nauja statyba,Justiniškės,1714.0342642572166
63," Naujamiestis, Naugarduko g., 3 kambarių butas",www.aruodas.lt/1-2986351,109600,59.23,77,2021-04-07,2021-04-07,1,3,4,4,1940,Mūrinis,Dujinis,Įrengtas,Sena statyba,Naujamiestis,1850.4136417356071
64," Naujamiestis, Birželio 23-iosios g., 2 kambarių butas",www.aruodas.lt/1-3005495,97900,46.0,126,2021-04-05,2021-04-08,1,2,3,5,1960,Mūrinis,Centrinis,Įrengtas,Sena statyba,Naujamiestis,2128.2608695652175
65," Paupys, Aukštaičių g., 2 kambarių butas",www.aruodas.lt/1-3014411,117345,28.31,5,2021-03-23,2021-04-07,1,2,2,3,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Paupys,4145.001766160368
66," Baltupiai, Didlaukio g., 2 kambarių butas",www.aruodas.lt/1-3012529,107505,45.17,4,2021-03-22,2021-04-07,1,2,3,5,2022,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Baltupiai,2380.008855435023
67," Antakalnis, Antakalnio g., 2 kambarių butas",www.aruodas.lt/1-3019073,78000,38.0,18,2021-04-05,2021-04-05,0,2,4,5,1965,Mūrinis,Centrinis,Dalinė apdaila ,Sena statyba,Antakalnis,2052.6315789473683
68," Naujamiestis, Kauno g., 2 kambarių butas",www.aruodas.lt/1-3019975,114900,48.04,12,2021-04-07,2021-04-07,1,2,2,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2391.7568692756035
69," Naujamiestis, Kauno g., 2 kambarių butas",www.aruodas.lt/1-3019977,108000,41.77,14,2021-04-07,2021-04-07,1,2,2,5,2021,Mūrinis,Centrinis kolektorinis,Dalinė apdaila ,Nauja statyba,Naujamiestis,2585.587742398851
